# medium capture, 2026-09-11, regional-us-central1 at 100 processing units; perf/summarize.sh output
shape                                        elapsed       cpu   rows  scanned  scans | joins
s1b_missions_filtered_list                 20.32msecs 19.18msecs    201     5062  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Missions×1(TableScan) | Cross Apply×1 Distributed Cross Apply×1 Filter Scan×2 Sort Limit×2 
s1c_consignments_cursor_page               13.41msecs 12.22msecs      5       24  Consignments×1(TableScan) IDX_Consignments_SectorId_5C60AFB524AD94C0×1(IndexScan) | Cross Apply×1 Distributed Cross Apply×1 Filter Scan×2 Sort Limit×2 
s1_missions_bare_tenancy_list              47.4msecs 47.49msecs     26     5062  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Missions×1(TableScan) | Cross Apply×1 Distributed Cross Apply×1 Filter Scan×2 Sort Limit×2 
s2_ships_joinpath_list                     29.56msecs 29.96msecs     11     4422  IDX_Hangars_SectorId_83FEC73DD3580633×1(IndexScan) Ships×1(TableScan) | Filter Scan×1 Semi Apply×1 Sort Limit×1 
s3b_sorties_via_mission_list               58.55msecs 63.69msecs     11    11024  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Sorties×1(TableScan) | Filter Scan×1 Semi Apply×1 Sort Limit×1 
s3_squadron_memberships_twohop_list        34.72msecs 34.02msecs     26     6214  IDX_Wings_SectorId_0FBD1CF2CD10407F×1(IndexScan) SquadronMemberships×1(TableScan) Squadrons×1(TableScan) | Filter Scan×2 Semi Apply×2 Sort Limit×1 
s4b_missions_subject_set_capabilities      93.38msecs 92.51msecs     26     5845  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) IDX_Wings_SectorId_0FBD1CF2CD10407F×2(IndexScan) Missions×1(TableScan) SquadronMemberships×2(TableScan) Squadrons×2(TableScan) | Cross Apply×3 Distributed Cross Apply×1 Filter Scan×8 Semi Apply×4 Sort Limit×1 
s4_missions_subject_set_list               176.79msecs 53.62msecs     26     5767  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) IDX_Wings_SectorId_0FBD1CF2CD10407F×1(IndexScan) Missions×1(TableScan) SquadronMemberships×1(TableScan) Squadrons×1(TableScan) | Cross Apply×2 Distributed Cross Apply×1 Filter Scan×5 Semi Apply×2 Sort Limit×1 
s5_missions_subject_value_list             38.27msecs 37.2msecs     26     5444  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Missions×1(TableScan) PilotCertifications×1(TableScan) PilotsByUserId×1(IndexScan) Pilots×1(TableScan) | Cross Apply×4 Distributed Cross Apply×1 Filter Scan×5 Sort Limit×1 
s6b_missions_masked_fee_sort               29.12msecs 29.35msecs     26     5062  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Missions×1(TableScan) | Cross Apply×1 Distributed Cross Apply×1 Filter Scan×2 Sort Limit×2 
s6_missions_visible_projection_sort        34.45msecs 34.68msecs     26     5062  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Missions×1(TableScan) | Cross Apply×1 Distributed Cross Apply×1 Filter Scan×2 Sort Limit×2 
s7b_insert_check_tenancy                   17.07msecs 16.96msecs      1        3  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) IDX_Missions_StatusId_6C5B4E962B675F96×1(IndexScan) Sorties×2(TableScan) | Cross Apply×1 Filter Scan×4 Semi Apply×2 
s7_write_check_missions                    9.88msecs 8.84msecs      1        1  IDX_Wings_SectorId_0FBD1CF2CD10407F×1(IndexScan) Missions×1(TableScan) SquadronMemberships×1(TableScan) Squadrons×1(TableScan) | Cross Apply×1 Filter Scan×4 Semi Apply×2 

