# seed capture, 2026-09-11, regional-us-central1 at 100 processing units; perf/summarize.sh output
shape                                        elapsed       cpu   rows  scanned  scans | joins
s1b_missions_filtered_list                 11.87msecs 10.97msecs     15       62  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Missions×1(TableScan) | Cross Apply×1 Distributed Cross Apply×1 Filter Scan×2 Sort Limit×2 
s1c_consignments_cursor_page               15.54msecs 14.32msecs      5       24  Consignments×1(TableScan) IDX_Consignments_SectorId_5C60AFB524AD94C0×1(IndexScan) | Cross Apply×1 Distributed Cross Apply×1 Filter Scan×2 Sort Limit×2 
s1_missions_bare_tenancy_list              14.38msecs 13.46msecs     26       62  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Missions×1(TableScan) | Cross Apply×1 Distributed Cross Apply×1 Filter Scan×2 Sort Limit×2 
s2_ships_joinpath_list                     12.97msecs 11.96msecs     10       22  IDX_Hangars_SectorId_83FEC73DD3580633×1(IndexScan) Ships×1(TableScan) | Filter Scan×1 Semi Apply×1 Sort Limit×1 
s3b_sorties_via_mission_list               19.77msecs 19.7msecs     11       24  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Sorties×1(TableScan) | Filter Scan×1 Semi Apply×1 Sort Limit×1 
s3_squadron_memberships_twohop_list        18.03msecs 17.98msecs      6       22  IDX_Wings_SectorId_0FBD1CF2CD10407F×1(IndexScan) SquadronMemberships×1(TableScan) Squadrons×1(TableScan) | Filter Scan×2 Semi Apply×2 Sort Limit×1 
s4b_missions_subject_set_capabilities      96.55msecs 96.52msecs      7      104  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) IDX_Wings_SectorId_0FBD1CF2CD10407F×2(IndexScan) Missions×1(TableScan) SquadronMemberships×2(TableScan) Squadrons×2(TableScan) | Cross Apply×3 Distributed Cross Apply×1 Filter Scan×8 Semi Apply×4 Sort Limit×1 
s4_missions_subject_set_list               49.14msecs 37.27msecs      7       83  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) IDX_Wings_SectorId_0FBD1CF2CD10407F×1(IndexScan) Missions×1(TableScan) SquadronMemberships×1(TableScan) Squadrons×1(TableScan) | Cross Apply×2 Distributed Cross Apply×1 Filter Scan×5 Semi Apply×2 Sort Limit×1 
s5_missions_subject_value_list             50.92msecs 32.21msecs     17       69  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Missions×1(TableScan) PilotCertifications×1(TableScan) PilotsByUserId×1(IndexScan) Pilots×1(TableScan) | Cross Apply×4 Distributed Cross Apply×1 Filter Scan×5 Sort Limit×1 
s6b_missions_masked_fee_sort               114.36msecs 16.97msecs     26       62  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Missions×1(TableScan) | Cross Apply×1 Distributed Cross Apply×1 Filter Scan×2 Sort Limit×2 
s6_missions_visible_projection_sort        14.99msecs 14.08msecs     23       62  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) Missions×1(TableScan) | Cross Apply×1 Distributed Cross Apply×1 Filter Scan×2 Sort Limit×2 
s7b_insert_check_tenancy                   20.32msecs 10.88msecs      1        3  IDX_Missions_SectorId_C9CC0B5B9F7FFF95×1(IndexScan) IDX_Missions_StatusId_6C5B4E962B675F96×1(IndexScan) Sorties×2(TableScan) | Cross Apply×1 Filter Scan×4 Semi Apply×2 
s7_write_check_missions                    18.67msecs 18.52msecs      1        1  IDX_Wings_SectorId_0FBD1CF2CD10407F×1(IndexScan) Missions×1(TableScan) SquadronMemberships×1(TableScan) Squadrons×1(TableScan) | Cross Apply×1 Filter Scan×4 Semi Apply×2 

